"atg.t","atg.p","atg.invalid","atg.positive","atg","msd.t","msd.p","msd.invalid","msd.positive","msd","double_neg"
40.8,8102,0,0,18.95,27.76,8102,0,0,6.28,0
40.8,4849,0,0,19.1,27.76,4849,0,0,6.25,0
40.8,7228,0,0,20.31,27.76,7228,0,0,8.29,0
40.8,21202,0,0,18.07,27.76,21202,0,0,7.01,0
40.8,15578,0,0,21.84,27.76,15578,0,0,8.51,0
40.8,24496,0,0,20.36,27.76,24496,0,0,8.46,0
40.8,12312,0,0,20.98,27.76,12312,0,0,8.33,0
40.8,25105,0,0,22.88,27.76,25105,0,0,8.85,0
40.8,6109,0,0,20.28,27.76,6109,0,0,7.86,0
40.8,20502,0,0,21.54,27.76,20502,0,0,8.66,0
40.8,11847,0,0,21.21,27.76,11847,0,0,8.26,0
40.8,5759,0,0,19.56,27.76,5759,0,0,7.83,0
40.8,16974,0,0,21.74,27.76,16974,0,0,8.39,0
40.8,8642,0,0,19.38,27.76,8642,0,0,6.66,0
40.8,24919,0,0,22.16,27.76,24919,0,0,8.75,0
40.8,5930,0,0,19.41,27.76,5930,0,0,6.84,0
40.8,3008,0,0,18.72,27.76,3008,0,0,7.43,0
40.8,23470,0,0,22.51,27.76,23470,0,0,8.32,0
40.8,14115,0,0,18.9,27.76,14115,0,0,6.71,0
40.8,10229,0,0,20.46,27.76,10229,0,0,7.87,0
40.8,12389,0,0,21.62,27.76,12389,0,0,8.28,0
40.8,20687,0,0,20.57,27.76,20687,0,0,8.88,0
40.8,14055,0,0,20.1,27.76,14055,0,0,8.04,0
40.8,10499,0,0,21.07,27.76,10499,0,0,8.25,0
40.8,15450,0,0,19.18,27.76,15450,0,0,7.06,0
40.8,14309,0,0,21.53,27.76,14309,0,0,8.1,0
40.8,3934,0,0,19.41,27.76,3934,0,0,8.07,0
40.8,19349,0,0,21.46,27.76,19349,0,0,8.91,0
40.8,6424,0,0,20.55,27.76,6424,0,0,8.13,0
40.8,6702,0,0,19.86,27.76,6702,0,0,8.01,0
40.8,833,0,0,19,27.76,833,0,0,8.01,0
40.8,17105,0,0,18.07,27.76,17105,0,0,6.75,0
40.8,14277,0,0,20.17,27.76,14277,0,0,8.43,0
40.8,22571,0,0,17.76,27.76,22571,0,0,6.44,0
40.8,17616,0,0,20.04,27.76,17616,0,0,6.67,0
40.8,9043,0,0,20.19,27.76,9043,0,0,8.18,0
40.8,12676,0,0,22.14,27.76,12676,0,0,8.39,0
40.8,7520,0,0,20.44,27.76,7520,0,0,8.13,0
40.8,19466,0,0,21.6,27.76,19466,0,0,8.58,0
40.8,9067,0,0,21.05,27.76,9067,0,0,7.9,0
40.8,23469,0,0,22.38,27.76,23469,0,0,8.51,0
40.8,19793,0,0,21.03,27.76,19793,0,0,7.06,0
40.8,14317,0,0,20.7,27.76,14317,0,0,8.08,0
40.8,19169,0,0,20.57,27.76,19169,0,0,8.68,0
40.8,5822,0,0,20.57,27.76,5822,0,0,7.56,0
40.8,21998,0,0,18.29,27.76,21998,0,0,6.53,0
40.8,8176,0,0,19.96,27.76,8176,0,0,8.41,0
40.8,22569,0,0,17.64,27.76,22569,0,0,6.81,0
40.8,22041,0,0,20.69,27.76,22041,0,0,8.73,0
40.8,13307,0,0,19.58,27.76,13307,0,0,6.43,0
40.8,5979,0,0,17.26,27.76,5979,0,0,6.23,0
40.8,4219,0,0,19.94,27.76,4219,0,0,7.8,0
40.8,19218,0,0,20.13,27.76,19218,0,0,8.32,0
40.8,25326,0,0,20.17,27.76,25326,0,0,8.84,0
40.8,19219,0,0,21.54,27.76,19219,0,0,8.19,0
40.8,17432,0,0,19.8,27.76,17432,0,0,8.48,0
40.8,21662,0,0,20.72,27.76,21662,0,0,8.78,0
40.8,8417,0,0,17.14,27.76,8417,0,0,6.33,0
40.8,6361,0,0,20.34,27.76,6361,0,0,7.61,0
40.8,16934,0,0,21.26,27.76,16934,0,0,8.84,0
40.8,15046,0,0,22.11,27.76,15046,0,0,8.13,0
40.8,19616,0,0,20.7,27.76,19616,0,0,8.58,0
40.8,12161,0,0,19.94,27.76,12161,0,0,7.77,0
40.8,1451,0,0,20.69,27.76,1451,0,0,7.63,0
40.8,4128,0,0,18.95,27.76,4128,0,0,8.27,0
40.8,24165,0,0,19.32,27.76,24165,0,0,6.59,0
40.8,19823,0,0,19,27.76,19823,0,0,6.75,0
40.8,25458,0,0,21.38,27.76,25458,0,0,8.48,0
40.8,19938,0,0,21.43,27.76,19938,0,0,8.3,0
40.8,20244,0,0,22.13,27.76,20244,0,0,8.36,0
40.8,15967,0,0,20.29,27.76,15967,0,0,8.46,0
40.8,6178,0,0,18.57,27.76,6178,0,0,7.67,0
40.8,20798,0,0,21.4,27.76,20798,0,0,8.65,0
40.8,12834,0,0,20.22,27.76,12834,0,0,8.37,0
40.8,2092,0,0,19.66,27.76,2092,0,0,7.83,0
40.8,16561,0,0,19.3,27.76,16561,0,0,6.97,0
40.8,8382,0,0,18.74,27.76,8382,0,0,6.36,0
40.8,23853,0,0,20.36,27.76,23853,0,0,8.73,0
40.8,9434,0,0,19.95,27.76,9434,0,0,8.04,0
40.8,24047,0,0,21.03,27.76,24047,0,0,8.9,0
40.8,14200,0,0,20.19,27.76,14200,0,0,8.47,0
40.8,16327,0,0,19.84,27.76,16327,0,0,8.21,0
40.8,1512,0,0,20.19,27.76,1512,0,0,8.16,0
40.8,5844,0,0,19.91,27.76,5844,0,0,8.06,0
40.8,11441,0,0,19.87,27.76,11441,0,0,8.4,0
40.8,15801,0,0,20.58,27.76,15801,0,0,8.4,0
40.8,18125,0,0,20.96,27.76,18125,0,0,8.04,0
40.8,1274,0,0,19.78,27.76,1274,0,0,7.97,0
40.8,11152,0,0,18.02,27.76,11152,0,0,6.91,0
40.8,15081,0,0,20.9,27.76,15081,0,0,8.61,0
40.8,3746,0,0,18.9,27.76,3746,0,0,6.18,0
40.8,12573,0,0,20.26,27.76,12573,0,0,8.55,0
40.8,17751,0,0,21.73,27.76,17751,0,0,8.7,0
40.8,20213,0,0,21.53,27.76,20213,0,0,8.46,0
40.8,9886,0,0,20.69,27.76,9886,0,0,8.23,0
40.8,5941,0,0,18.98,27.76,5941,0,0,6.63,0
40.8,8362,0,0,19.18,27.76,8362,0,0,8.03,0
40.8,9117,0,0,20.72,27.76,9117,0,0,8.4,0
40.8,17065,0,0,20.32,27.76,17065,0,0,8.16,0
40.8,7771,0,0,20.41,27.76,7771,0,0,7.73,0
40.8,25036,0,0,20.45,27.76,25036,0,0,8.87,0
40.8,19996,0,0,21.45,27.76,19996,0,0,8.78,0
40.8,8461,0,0,20.29,27.76,8461,0,0,7.9,0
40.8,24650,0,0,21.19,27.76,24650,0,0,8.52,0
40.8,19155,0,0,20.96,27.76,19155,0,0,8.45,0
40.8,20908,0,0,19.57,27.76,20908,0,0,6.66,0
40.8,24690,0,0,19.83,27.76,24690,0,0,7.01,0
40.8,20786,0,0,21.46,27.76,20786,0,0,8.46,0
40.8,4631,0,0,19.04,27.76,4631,0,0,8.38,0
40.8,20675,0,0,20.85,27.76,20675,0,0,9.1,0
40.8,12464,0,0,19.74,27.76,12464,0,0,6.48,0
40.8,15442,0,0,19.99,27.76,15442,0,0,6.95,0
40.8,5482,0,0,19.1,27.76,5482,0,0,7.8,0
40.8,867,0,0,18.32,27.76,867,0,0,7.99,0
40.8,21714,0,0,19.61,27.76,21714,0,0,6.51,0
40.8,1915,0,0,18.99,27.76,1915,0,0,8.03,0
40.8,19357,0,0,21.35,27.76,19357,0,0,8.47,0
40.8,18082,0,0,20.74,27.76,18082,0,0,8.26,0
40.8,20590,0,0,20.59,27.76,20590,0,0,8.64,0
40.8,11313,0,0,21.58,27.76,11313,0,0,8.06,0
40.8,19919,0,0,21.12,27.76,19919,0,0,8.72,0
40.8,13994,0,0,20.94,27.76,13994,0,0,8.05,0
40.8,17566,0,0,21.56,27.76,17566,0,0,8.48,0
